r 4362, joined: nan, trans: NaT
r 4363, joined: nan, trans: NaT
r 4364, joined: nan, trans: NaT
r 4365, joined: nan, trans: NaT
r 4366, joined: nan, trans: NaT
r 4367, joined: nan, trans: NaT
r 4368, joined: nan, trans: NaT
r 4369, joined: nan, trans: NaT
r 4370, joined: nan, trans: NaT
r 4371, joined: nan, trans: NaT
r 4372, joined: nan, trans: NaT
r 4373, joined: nan, trans: NaT
r 4374, joined: nan, trans: NaT
r 4375, joined: nan, trans: NaT
r 4376, joined: nan, trans: NaT
r 4377, joined: nan, trans: NaT
r 4378, joined: nan, trans: NaT
r 4379, joined: nan, trans: NaT
r 4380, joined: nan, trans: NaT
r 4381, joined: nan, trans: NaT
r 4382, joined: nan, trans: NaT
r 4383, joined: nan, trans: NaT
r 4384, joined: nan, trans: NaT
r 4385, joined: nan, trans: NaT
r 4386, joined: nan, trans: NaT
r 4387, joined: nan, trans: NaT
r 4388, joined: nan, trans: NaT
r 4389, joined: nan, trans: NaT
r 4390, joined: nan, trans: NaT
r 4398, joined: nan, trans: NaT
r 4405, joined: nan, trans: NaT
r 4618, joined: nan, trans: NaT
r 4621, joined: nan, trans: NaT
r 4622, joined: nan, trans: NaT
r 4623, joined: nan, trans: NaT
r 4631, joined: nan, trans: NaT
r 4632, joined: nan, trans: NaT
r 4633, joined: nan, trans: NaT
r 4634, joined: nan, trans: NaT
r 4635, joined: nan, trans: NaT
r 4643, joined: nan, trans: NaT
r 4656, joined: nan, trans: NaT
r 4657, joined: nan, trans: NaT
r 4658, joined: nan, trans: NaT
r 4659, joined: nan, trans: NaT
r 4660, joined: nan, trans: NaT
r 4661, joined: nan, trans: NaT
r 4662, joined: nan, trans: NaT
r 4663, joined: nan, trans: NaT
r 4664, joined: nan, trans: NaT
r 4665, joined: nan, trans: NaT
r 4666, joined: nan, trans: NaT
r 4667, joined: nan, trans: NaT
r 4668, joined: nan, trans: NaT
r 4669, joined: nan, trans: NaT
r 4670, joined: nan, trans: NaT
r 4671, joined: nan, trans: NaT
r 4672, joined: nan, trans: NaT
r 4673, joined: nan, trans: NaT
r 4674, joined: nan, trans: NaT
r 4675, joined: nan, trans: NaT
r 4676, joined: nan, trans: NaT
r 4677, joined: nan, trans: NaT
r 4678, joined: nan, trans: NaT
r 4679, joined: nan, trans: NaT
r 4680, joined: nan, trans: NaT
r 4681, joined: nan, trans: NaT
r 4682, joined: nan, trans: NaT
r 4683, joined: nan, trans: NaT
r 4684, joined: nan, trans: NaT
r 4685, joined: nan, trans: NaT
r 4686, joined: nan, trans: NaT
r 4704, joined: nan, trans: NaT
r 4705, joined: nan, trans: NaT
r 4706, joined: nan, trans: NaT
r 4707, joined: nan, trans: NaT
r 4708, joined: nan, trans: NaT
r 4709, joined: nan, trans: NaT
r 4710, joined: nan, trans: NaT
r 4711, joined: nan, trans: NaT
r 4712, joined: nan, trans: NaT
r 4713, joined: nan, trans: NaT
r 4714, joined: nan, trans: NaT
r 4715, joined: nan, trans: NaT
r 4716, joined: nan, trans: NaT
r 4717, joined: nan, trans: NaT
r 4718, joined: nan, trans: NaT
r 4719, joined: nan, trans: NaT
r 4720, joined: nan, trans: NaT
r 4721, joined: nan, trans: NaT
r 4722, joined: nan, trans: NaT
r 4723, joined: nan, trans: NaT
r 4724, joined: nan, trans: NaT
r 4725, joined: nan, trans: NaT
r 4726, joined: nan, trans: NaT
r 4727, joined: nan, trans: NaT
r 4728, joined: nan, trans: NaT
r 4729, joined: nan, trans: NaT
r 4730, joined: nan, trans: NaT
r 4731, joined: nan, trans: NaT
r 4732, joined: nan, trans: NaT
r 4733, joined: nan, trans: NaT
r 4734, joined: nan, trans: NaT
r 4735, joined: nan, trans: NaT
r 4736, joined: nan, trans: NaT
r 4737, joined: nan, trans: NaT
r 4738, joined: nan, trans: NaT
r 4739, joined: nan, trans: NaT
r 4740, joined: nan, trans: NaT
r 4741, joined: nan, trans: NaT
r 4742, joined: nan, trans: NaT
r 4743, joined: nan, trans: NaT
r 4744, joined: nan, trans: NaT
r 4745, joined: nan, trans: NaT
r 4746, joined: nan, trans: NaT
r 4747, joined: nan, trans: NaT
r 4748, joined: nan, trans: NaT
r 4749, joined: nan, trans: NaT
r 4750, joined: nan, trans: NaT
r 4751, joined: nan, trans: NaT
r 4752, joined: nan, trans: NaT
r 4753, joined: nan, trans: NaT
r 4754, joined: nan, trans: NaT
r 4755, joined: nan, trans: NaT
r 4756, joined: nan, trans: NaT
r 4757, joined: nan, trans: NaT
r 4758, joined: nan, trans: NaT
r 4759, joined: nan, trans: NaT
r 4760, joined: nan, trans: NaT
r 4761, joined: nan, trans: NaT
r 4762, joined: nan, trans: NaT
r 4763, joined: nan, trans: NaT
r 4764, joined: nan, trans: NaT
r 4765, joined: nan, trans: NaT
r 4766, joined: nan, trans: NaT
r 4767, joined: nan, trans: NaT
r 4768, joined: nan, trans: NaT
r 4769, joined: nan, trans: NaT
r 4770, joined: nan, trans: NaT
r 4771, joined: nan, trans: NaT
r 4772, joined: nan, trans: NaT
r 4773, joined: nan, trans: NaT
r 4774, joined: nan, trans: NaT
r 4776, joined: nan, trans: NaT
r 4777, joined: nan, trans: NaT
r 4778, joined: nan, trans: NaT
r 4779, joined: nan, trans: NaT
r 4780, joined: nan, trans: NaT
r 4781, joined: nan, trans: NaT
r 4782, joined: nan, trans: NaT
r 4783, joined: nan, trans: NaT
r 4784, joined: nan, trans: NaT
r 4785, joined: nan, trans: NaT
r 4786, joined: nan, trans: NaT
r 4787, joined: nan, trans: NaT
r 4788, joined: nan, trans: NaT
r 4789, joined: nan, trans: NaT
r 4790, joined: nan, trans: NaT
r 4791, joined: nan, trans: NaT
r 4792, joined: nan, trans: NaT
r 4793, joined: nan, trans: NaT
r 4794, joined: nan, trans: NaT
r 4795, joined: nan, trans: NaT
r 4796, joined: nan, trans: NaT
r 4797, joined: nan, trans: NaT
r 4798, joined: nan, trans: NaT
r 4799, joined: nan, trans: NaT
r 4800, joined: nan, trans: NaT
r 4801, joined: nan, trans: NaT
r 4802, joined: nan, trans: NaT
r 4803, joined: nan, trans: NaT
r 4804, joined: nan, trans: NaT
r 4805, joined: nan, trans: NaT
r 4806, joined: nan, trans: NaT
r 4807, joined: nan, trans: NaT
r 4808, joined: nan, trans: NaT
r 4809, joined: nan, trans: NaT
r 4810, joined: nan, trans: NaT
r 4811, joined: nan, trans: NaT
r 4812, joined: nan, trans: NaT
r 4813, joined: nan, trans: NaT
r 4814, joined: nan, trans: NaT
r 4815, joined: nan, trans: NaT
r 4816, joined: nan, trans: NaT
r 4817, joined: nan, trans: NaT
r 4818, joined: nan, trans: NaT
r 4819, joined: nan, trans: NaT
r 4820, joined: nan, trans: NaT
r 4821, joined: nan, trans: NaT
r 4822, joined: nan, trans: NaT
r 4823, joined: nan, trans: NaT
r 4824, joined: nan, trans: NaT
r 4825, joined: nan, trans: NaT
r 4826, joined: nan, trans: NaT
r 4829, joined: nan, trans: NaT
r 4831, joined: nan, trans: NaT
r 4832, joined: nan, trans: NaT
r 4833, joined: nan, trans: NaT
r 4834, joined: nan, trans: NaT
r 4835, joined: nan, trans: NaT
r 4836, joined: nan, trans: NaT
r 4837, joined: nan, trans: NaT
r 4838, joined: nan, trans: NaT
r 4839, joined: nan, trans: NaT
r 4840, joined: nan, trans: NaT
r 4841, joined: nan, trans: NaT
r 4842, joined: nan, trans: NaT
r 4843, joined: nan, trans: NaT
r 4844, joined: nan, trans: NaT
r 4845, joined: nan, trans: NaT
r 4846, joined: nan, trans: NaT
r 4847, joined: nan, trans: NaT
r 4848, joined: nan, trans: NaT
r 4849, joined: nan, trans: NaT
r 4850, joined: nan, trans: NaT
r 4851, joined: nan, trans: NaT
r 4852, joined: nan, trans: NaT
r 4853, joined: nan, trans: NaT
r 4854, joined: nan, trans: NaT
r 4855, joined: nan, trans: NaT
r 4856, joined: nan, trans: NaT
r 4857, joined: nan, trans: NaT
r 4858, joined: nan, trans: NaT
r 4859, joined: nan, trans: NaT
r 4860, joined: nan, trans: NaT
r 4861, joined: nan, trans: NaT
r 4862, joined: nan, trans: NaT
r 4863, joined: nan, trans: NaT
r 4864, joined: nan, trans: NaT
r 4865, joined: nan, trans: NaT
r 4866, joined: nan, trans: NaT
r 4867, joined: nan, trans: NaT
r 4868, joined: nan, trans: NaT
r 4869, joined: nan, trans: NaT
r 4870, joined: nan, trans: NaT
r 4871, joined: nan, trans: NaT
r 4872, joined: nan, trans: NaT
r 4873, joined: nan, trans: NaT
r 4874, joined: nan, trans: NaT
r 4875, joined: nan, trans: NaT
r 4876, joined: nan, trans: NaT
r 4877, joined: nan, trans: NaT
r 4879, joined: nan, trans: NaT
r 4880, joined: nan, trans: NaT
r 4881, joined: nan, trans: NaT
r 4882, joined: nan, trans: NaT
r 4883, joined: nan, trans: NaT
r 4884, joined: nan, trans: NaT
r 4885, joined: nan, trans: NaT
r 4886, joined: nan, trans: NaT
r 4887, joined: nan, trans: NaT
r 4888, joined: nan, trans: NaT
r 4889, joined: nan, trans: NaT
r 4890, joined: nan, trans: NaT
r 4891, joined: nan, trans: NaT
r 4892, joined: nan, trans: NaT
r 4893, joined: nan, trans: NaT
r 4895, joined: nan, trans: NaT
r 4896, joined: nan, trans: NaT
r 4975, joined: nan, trans: NaT
r 4976, joined: nan, trans: NaT
r 4977, joined: nan, trans: NaT
r 4978, joined: nan, trans: NaT
r 4979, joined: nan, trans: NaT
r 4980, joined: nan, trans: NaT
r 4981, joined: nan, trans: NaT
r 4982, joined: nan, trans: NaT
r 5000, joined: nan, trans: NaT
r 5001, joined: nan, trans: NaT
r 5002, joined: nan, trans: NaT
r 5003, joined: nan, trans: NaT
r 5004, joined: nan, trans: NaT
r 5005, joined: nan, trans: NaT
r 5023, joined: nan, trans: NaT
r 5024, joined: nan, trans: NaT
r 5025, joined: nan, trans: NaT
r 5026, joined: nan, trans: NaT
r 5061, joined: nan, trans: NaT
r 5064, joined: nan, trans: NaT
r 5068, joined: nan, trans: NaT
r 5071, joined: nan, trans: NaT
r 5072, joined: nan, trans: NaT
r 5082, joined: nan, trans: NaT
r 5092, joined: nan, trans: NaT
r 5115, joined: nan, trans: NaT
r 5117, joined: nan, trans: NaT
r 5118, joined: nan, trans: NaT
r 5120, joined: nan, trans: NaT
r 5121, joined: nan, trans: NaT
r 5122, joined: nan, trans: NaT
r 5151, joined: nan, trans: NaT
r 5161, joined: nan, trans: NaT
r 5162, joined: nan, trans: NaT
r 5163, joined: nan, trans: NaT
r 5164, joined: nan, trans: NaT
r 5165, joined: nan, trans: NaT
r 5166, joined: nan, trans: NaT
r 5167, joined: nan, trans: NaT
r 5168, joined: nan, trans: NaT
r 5169, joined: nan, trans: NaT
r 5170, joined: nan, trans: NaT
r 5171, joined: nan, trans: NaT
r 5172, joined: nan, trans: NaT
r 5181, joined: nan, trans: NaT
r 5207, joined: nan, trans: NaT
r 5208, joined: nan, trans: NaT
r 5209, joined: nan, trans: NaT
r 5210, joined: nan, trans: NaT
r 5211, joined: nan, trans: NaT
r 5228, joined: nan, trans: NaT
